layer,component,explained_variance_ratio,cumulative_explained_variance
0,341,0.0006753646302968264,0.7097729634260759
0,342,0.0006731684552505612,0.7104461318813264
0,343,0.0006717821233905852,0.711117914004717
0,344,0.0006702072569169104,0.7117881212616339
0,345,0.0006679210928268731,0.7124560423544608
0,346,0.000667060085106641,0.7131231024395674
0,347,0.0006649431306868792,0.7137880455702543
0,348,0.0006624743691645563,0.7144505199394189
0,349,0.0006606331444345415,0.7151111530838534
0,350,0.0006562278722412884,0.7157673809560947
0,351,0.0006540381000377238,0.7164214190561324
0,352,0.0006536736618727446,0.7170750927180052
0,353,0.0006513014668598771,0.7177263941848651
0,354,0.0006496786372736096,0.7183760728221387
0,355,0.0006462872261181474,0.7190223600482568
0,356,0.0006443541496992111,0.719666714197956
0,357,0.0006410348578356206,0.7203077490557916
0,358,0.0006392208160832524,0.7209469698718749
0,359,0.0006369668408297002,0.7215839367127046
0,360,0.0006355489604175091,0.7222194856731221
0,361,0.0006341222324408591,0.722853607905563
0,362,0.0006330284522846341,0.7234866363578476
0,363,0.000630487862508744,0.7241171242203563
0,364,0.0006287719588726759,0.724745896179229
0,365,0.0006257869536057115,0.7253716831328347
0,366,0.0006229322752915323,0.7259946154081263
0,367,0.0006217997288331389,0.7266164151369594
0,368,0.0006210831343196332,0.727237498271279
0,369,0.0006180625059641898,0.7278555607772432
0,370,0.0006134865689091384,0.7284690473461524
0,371,0.0006122912163846195,0.729081338562537
0,372,0.0006090904353186488,0.7296904289978556
0,373,0.0006077301222831011,0.7302981591201387
0,374,0.0006066938512958586,0.7309048529714346
0,375,0.0006053095567040145,0.7315101625281386
0,376,0.0006032001110725105,0.7321133626392111
0,377,0.0006026141927577555,0.7327159768319689
0,378,0.0005995977553538978,0.7333155745873228
0,379,0.0005965962773188949,0.7339121708646417
0,380,0.0005946578457951546,0.7345068287104368
0,381,0.0005936633097007871,0.7351004920201376
0,382,0.000592949625570327,0.7356934416457079
0,383,0.000589733652304858,0.7362831752980128
